name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,state
Julian CDF,US,CA,,,33.0833,-116.63,1285.0,America/Los_Angeles,,,1893-01-01,2023-10-24,1893-01-01,2022-01-01,CA
San Luis Valley Regional,US,CO,72462,KALS,37.4333,-105.8667,2297.0,America/Denver,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,CO
La Junta / La Junta Village,US,CO,72463,KLHX,38.05,-103.5097,1289.0,America/Denver,1942-11-01,2023-11-04,1942-11-02,2022-04-25,1943-01-01,2021-01-01,CO
Pueblo Memorial Airport,US,CO,72464,KPUB,38.2833,-104.5,1440.0,America/Denver,1942-10-01,2023-11-04,1942-10-01,2023-10-31,1942-01-01,2022-01-01,CO
Colorado Springs Muni,US,CO,72466,KCOS,38.8167,-104.7167,1885.0,America/Denver,1942-09-01,2023-11-04,1942-09-01,2023-10-31,1942-01-01,2022-01-01,CO
Fort Carson,US,CO,72468,KFCS,38.7,-104.7667,1789.0,America/Denver,1966-09-15,2023-11-04,1966-09-15,2022-04-25,1970-01-01,2020-01-01,CO
"Denver / Stapleton International, Co.",US,CO,72469,KDNR,39.7833,-104.8667,1626.0,America/Denver,1940-05-15,1995-03-01,1940-05-15,2023-09-19,1940-01-01,2021-01-01,CO
Grand Junction Walker Field,US,CO,72476,KGJT,39.1333,-108.5333,1481.0,America/Denver,1973-01-01,2023-11-04,1900-01-01,2023-10-31,1900-01-01,2022-01-01,CO
Denver International Airport,US,CO,72565,KDEN,39.8667,-104.6667,1655.0,America/Denver,1994-07-18,2023-11-04,1994-07-19,2023-10-30,1995-01-01,2022-01-01,CO
Craig Moffat Airport,US,CO,72570,KCAG,40.5,-107.5167,1888.0,America/Denver,2006-01-01,2023-11-04,1996-09-01,2023-10-31,1996-01-01,2022-01-01,CO
Air Force Academy,US,CO,74531,KAFF,38.9667,-104.8167,2003.0,America/Denver,1967-11-27,2023-11-04,1970-08-01,2022-04-25,2008-01-01,2022-01-01,CO
"Limon, County",US,CO,74532,,39.1833,-103.7,0.0,America/Denver,,,1948-08-01,2023-10-31,1948-01-01,2022-01-01,CO
Akron,US,CO,,KAKO,40.1756,-103.222,1438.0,America/Denver,1973-01-01,2023-11-04,1973-01-01,2022-04-23,1999-01-01,2022-01-01,CO
Denver / Aurora / Side Creek,US,CO,,KBKF,39.7017,-104.7517,1726.0,America/Denver,1944-03-01,2023-11-04,1961-03-02,2022-04-24,1961-01-01,2021-01-01,CO
Eagle County / Gypsum,US,CO,,KEGE,39.6428,-106.9159,1996.0,America/Denver,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2022-01-01,CO
Limon,US,CO,,KLIC,39.2748,-103.6659,1638.0,America/Denver,1973-01-01,2023-11-04,1986-12-03,2022-04-24,1989-01-01,2021-01-01,CO
Trinidad / Hoehne,US,CO,,KTAD,37.2594,-104.3407,1756.0,America/Denver,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2001-01-01,2022-01-01,CO
Sikorsky Memorial Airport,US,CT,72504,KBDR,41.1667,-73.1333,3.0,America/New_York,1942-12-08,2023-11-04,1942-12-08,2023-10-31,1943-01-01,2022-01-01,CT
Bradley International Airport,US,CT,72508,KBDL,41.9333,-72.6833,53.0,America/New_York,1941-09-12,2023-11-04,1942-01-08,2023-10-31,1942-01-01,2022-01-01,CT
Groton / Midway,US,CT,,KGON,41.3301,-72.0451,3.0,America/New_York,1943-01-19,2023-11-04,1943-01-20,2022-04-24,1943-01-01,2021-01-01,CT
Hartford / Colonial Mobile Home Park,US,CT,,KHFD,41.7367,-72.6494,6.0,America/New_York,1974-01-01,2023-11-04,1979-06-22,2022-04-24,2005-01-01,2022-01-01,CT
Wilmington / Duross Heights,US,DE,72418,KILG,39.6787,-75.6066,24.0,America/New_York,1942-08-01,2023-11-04,1931-04-16,2023-10-31,1943-01-01,2022-01-01,DE
Key West Airport,US,FL,72201,KEYW,24.55,-81.1,1.0,America/New_York,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,FL
Miami International Airport,US,FL,72202,KMIA,25.7833,-80.3167,4.0,America/New_York,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,FL
Palm Beach International,US,FL,72203,KPBI,26.6833,-80.1,6.0,America/New_York,1943-02-06,2023-11-04,1938-07-01,2023-10-31,1938-01-01,2022-01-01,FL
Melbourne International,US,FL,72204,KMLB,28.1,-80.65,10.0,America/New_York,1974-11-13,2023-11-04,1974-11-13,2023-10-31,2000-01-01,2022-01-01,FL
Orlando Airport,US,FL,72205,KMCO,28.4167,-81.0,29.0,America/New_York,1952-05-07,2023-11-04,1952-05-16,2023-10-31,1952-01-01,2022-01-01,FL
Jacksonville International,US,FL,72206,KJAX,30.5,-81.0333,9.0,America/New_York,1948-01-01,2023-11-04,1938-04-01,2023-10-31,1938-01-01,2022-01-01,FL
Tampa Bay Area,US,FL,72210,KTBW,27.7,-82.4,12.0,America/New_York,1977-08-26,2006-04-01,1976-03-01,2023-10-31,1976-01-01,2022-01-01,FL
Tampa International Airport,US,FL,72211,KTPA,27.9667,-82.5333,8.0,America/New_York,1940-08-01,2023-11-04,1939-02-01,2023-10-31,1939-01-01,2022-01-01,FL
Cross City Airport,US,FL,72212,KCTY,29.6333,-83.1,13.0,America/New_York,1943-12-21,2023-11-04,1943-12-22,2023-10-31,1944-01-01,2022-01-01,FL
Tallahassee Airport,US,FL,72214,KTLH,30.4,-84.0167,25.0,America/New_York,1942-05-01,2023-11-04,1940-03-01,2023-10-31,1940-01-01,2022-01-01,FL
Apalachicola Municipal Airport,US,FL,72220,KAAF,29.7167,-85.0167,6.0,America/New_York,1945-01-01,2023-11-04,1931-03-01,2023-10-31,1931-01-01,2022-01-01,FL
Valparaiso / Eglin Air Force Base,US,FL,72221,KVPS,30.4833,-86.5167,26.0,America/Chicago,1938-09-10,2023-11-04,1941-07-02,2022-04-25,1941-01-01,2022-01-01,FL
Pensacola / Pleasant Grove,US,FL,72222,KNPA,30.3533,-87.318,9.0,America/Indiana/Tell_City,1945-02-01,2023-11-04,1945-04-05,2023-10-31,1945-01-01,2022-01-01,FL
Gainesville / Brittany Estates Mobile Home Park,US,FL,74756,KGNV,29.6901,-82.2718,46.0,America/New_York,2005-01-01,2023-11-04,1960-05-17,2023-10-31,1960-01-01,2022-01-01,FL
Tyndall Air Force Base,US,FL,74775,KPAM,30.0667,-85.5833,5.0,America/Chicago,1942-03-19,2023-11-04,1942-04-21,2022-04-25,1942-01-01,2022-01-01,FL
Marianna / Chipola Terrace,US,FL,74776,KMAI,30.8378,-85.1819,34.0,America/Chicago,2005-01-01,2023-11-04,1950-01-01,2023-10-31,1950-01-01,2022-01-01,FL
Hurlburt Field,US,FL,74777,KHRT,30.4167,-86.6833,12.0,America/Chicago,1955-07-05,2023-11-04,1955-07-01,2022-04-25,1955-01-01,2021-01-01,FL
Jacksonville / Hatch Road Mobile Home Park,US,FL,74782,KCRG,30.3363,-81.5144,13.0,America/New_York,2005-01-01,2023-11-04,1998-01-01,2023-10-31,1998-01-01,2022-01-01,FL
Fort Lauderdale,US,FL,74783,KFLL,26.0726,-80.1527,3.0,America/New_York,2005-01-01,2023-11-04,1945-03-01,2023-10-31,1945-01-01,2022-01-01,FL
Daytona Beach / Mansfield Mobile Home Park,US,FL,74787,KDAB,29.1799,-81.0581,10.0,America/New_York,2005-01-01,2023-11-04,1937-01-01,2023-10-31,1937-01-01,2022-01-01,FL
"Macdill Air Force Base, Fl.",US,FL,74788,KMCF,27.85,-82.5,4.0,America/New_York,1941-05-01,2023-11-04,1941-05-03,2022-04-25,1941-01-01,2021-01-01,FL
Gifford,US,FL,74793,KGIF,27.6561,-80.4181,44.0,America/New_York,2005-01-01,2023-11-04,1923-12-01,2023-10-31,1923-01-01,2022-01-01,FL
"Cocoa Beach, Cape Canaveral Air Force Station Skid Strip",US,FL,74794,KXMR,28.4667,-80.5667,3.0,America/New_York,1950-08-01,2023-11-04,1950-07-09,2022-04-25,1950-01-01,2021-01-01,FL
Cocoa / Patrick Air Force Base,US,FL,74795,KCOF,28.2333,-80.6,3.0,America/New_York,1945-03-01,2023-11-04,1945-03-02,2022-04-25,1945-01-01,2021-01-01,FL
Avon Park Gunnery Range,US,FL,74796,KAGR,27.65,-81.3333,20.0,America/New_York,1943-12-01,2023-11-04,1943-12-02,2022-04-24,1944-01-01,1945-01-01,FL
Crestview / Silver Springs,US,FL,,KCEW,30.7788,-86.5221,65.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2021-01-01,FL
Duke Fld / Killingsworth Crossroads,US,FL,,KEGI,30.6503,-86.5229,59.0,America/Chicago,1949-09-08,2023-11-04,1949-09-09,2022-04-25,2009-01-01,2021-01-01,FL
Fort Myers / Page Park,US,FL,,KFMY,26.5866,-81.8632,5.0,America/New_York,1943-01-01,2023-11-04,1943-01-02,2022-04-24,1943-01-01,2022-01-01,FL
Homestead / Homestead Base,US,FL,,KHST,25.4884,-80.3837,2.0,America/New_York,1943-02-01,2023-11-04,1943-02-02,2022-04-24,1943-01-01,2022-01-01,FL
Mayport,US,FL,,KNRB,30.3914,-81.4245,5.0,America/New_York,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1984-01-01,2021-01-01,FL
Milton / Point Baker,US,FL,,KNSE,30.7225,-87.0239,61.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-03-18,1981-01-01,2021-01-01,FL
Orlando / Azalea Park,US,FL,,KORL,28.5455,-81.3329,34.0,America/New_York,1990-02-08,2023-11-04,1990-02-09,2022-04-24,2005-01-01,2021-01-01,FL
Sebring / Istokpoga,US,FL,,KSEF,27.4564,-81.3424,19.0,America/New_York,1942-04-01,2023-11-04,1942-04-03,2022-04-25,1942-01-01,2022-01-01,FL
Sanford / Orlando / Midway,US,FL,,KSFB,28.7767,-81.2355,17.0,America/New_York,1973-01-01,2023-11-04,1991-12-20,2022-04-24,2005-01-01,2021-01-01,FL
Saint Petersburg,US,FL,,KSPG,27.7651,-82.627,2.0,America/New_York,1986-01-01,2023-11-04,1998-06-18,2022-04-24,2005-01-01,2022-01-01,FL
Savannah Airport,US,GA,72207,KSAV,32.1167,-81.0333,16.0,America/New_York,1948-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,GA
Ft. Stewart,US,GA,72209,KLHW,31.8833,-81.5667,14.0,America/New_York,2006-01-03,2023-11-04,1967-02-01,2022-04-24,1967-01-01,2022-01-01,GA
Waycross / Ware County,US,GA,72213,KAYS,31.25,-82.4,46.0,America/New_York,1942-12-01,2023-11-04,1942-12-02,2022-04-25,1944-01-01,2022-01-01,GA
Peachtree City,US,GA,72215,KFFC,33.3667,-84.5667,262.0,America/New_York,2006-01-01,2023-11-04,1994-08-01,2023-10-31,1994-01-01,2022-01-01,GA
Albany Southwest Georgia,US,GA,72216,KABY,31.5333,-84.2,60.0,America/New_York,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,GA
Middle Georgia Regional Airport,US,GA,72217,KMCN,32.6833,-83.15,108.0,America/New_York,1941-10-20,2023-11-04,1941-10-20,2023-10-31,1941-01-01,2022-01-01,GA
Augusta Bush Field,US,GA,72218,KAGS,33.3667,-81.9667,44.0,America/New_York,1948-01-01,2023-11-04,1942-12-01,2023-10-31,1942-01-01,2022-01-01,GA
Hartsfield-Jackson Atlanta,US,GA,72219,KATL,33.65,-84.1,313.0,America/New_York,1973-01-01,2023-11-04,1930-01-01,2023-10-31,1930-01-01,2022-01-01,GA
Fort Benning,US,GA,72225,KLSF,32.3333,-84.8333,71.0,America/New_York,1939-05-01,2023-11-04,1939-05-01,2023-11-01,1939-01-01,2022-01-01,GA
Marietta / Dobbins Air Force Base,US,GA,72227,KMGE,33.9167,-84.5167,326.0,America/New_York,1946-09-01,2023-11-04,1946-09-02,2022-04-24,1946-01-01,2021-01-01,GA
Athens Ben Epps Airport,US,GA,72311,KAHN,33.95,-83.3333,246.0,America/New_York,1973-01-01,2023-11-04,1944-06-01,2023-10-31,1944-01-01,2022-01-01,GA
Alma / Guysie,US,GA,72316,KAMG,31.5361,-82.5066,61.0,America/New_York,1973-01-01,2023-11-04,1938-06-01,2023-10-31,1938-01-01,2022-01-01,GA
Rome R. B. Russell Airport,US,GA,72320,KRMG,34.35,-85.1667,195.0,America/New_York,1978-01-01,2023-11-02,1948-01-01,2023-10-31,1948-01-01,2022-01-01,GA
Moody Air Force Base,US,GA,74781,KVAD,30.9667,-83.2,71.0,America/New_York,2006-01-03,2023-11-04,1951-07-01,2022-04-25,1951-01-01,2022-01-01,GA
Columbus / Wayne Terrace,US,GA,,KCSG,32.5163,-84.9389,121.0,America/New_York,1948-01-01,2023-11-04,1948-01-02,2022-04-23,1948-01-01,2021-01-01,GA
Brunswick / Mallory Park,US,GA,,KSSI,31.1518,-81.3913,6.0,America/New_York,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2000-01-01,2022-01-01,GA
Valdosta / Macville (Historical),US,GA,,KVLD,30.7814,-83.2762,62.0,America/New_York,1948-01-01,2023-11-04,1948-01-02,2022-04-24,1948-01-01,2021-01-01,GA
Warner Robins,US,GA,,KWRB,32.6401,-83.5918,90.0,America/New_York,1942-08-07,2023-11-04,1942-08-08,2022-04-24,1942-01-01,2021-01-01,GA
"Sand Island, Henderson Field Airport",US,HI,91066,PMDY,28.2167,-177.3667,4.0,Pacific/Midway,1945-04-01,2023-11-04,1945-04-02,2023-10-25,1945-01-01,2022-01-01,HI
Pmrf Barking Sands,US,HI,91162,PHBK,22.0333,-159.7833,4.0,Pacific/Honolulu,1942-04-22,2023-11-04,1942-11-11,2022-04-25,1943-01-01,2021-01-01,HI
Lihue Airport,US,HI,91165,PHLI,21.9833,-159.3333,45.0,Pacific/Honolulu,1973-01-01,2023-11-04,1950-02-01,2023-10-27,1950-01-01,2022-01-01,HI
Wheeler Air Force Base / Oahu,US,HI,91170,PHHI,21.4833,-158.0333,255.0,Pacific/Honolulu,1939-06-01,2023-11-04,1940-06-19,2022-04-25,1940-01-01,2022-01-01,HI
Kaena Point / Mokul?‘Ia Beach Colony,US,HI,91171,,21.5667,-158.25,341.0,Pacific/Honolulu,,,1972-05-01,2023-09-29,1972-01-01,1985-01-01,HI
Lualualei;Oahu / Mikilua Camp,US,HI,91172,,21.4333,-158.1333,35.0,Pacific/Honolulu,,,1949-10-01,2022-04-29,1949-01-01,2020-01-01,HI
Mcbh Kaneohe Bay Hawaii,US,HI,91176,PHNG,21.45,-157.75,7.0,Pacific/Honolulu,1973-01-01,2023-11-04,1942-01-01,2023-10-25,1942-01-01,2022-01-01,HI
Kalaeloa Airport,US,HI,91178,PHJR,21.3167,-158.0667,10.0,Pacific/Honolulu,2015-09-05,2023-11-04,1949-01-01,2022-04-24,1949-01-01,1998-01-01,HI
Honolulu International Airport,US,HI,91182,PHNL,21.3333,-157.95,4.0,Pacific/Honolulu,1939-06-01,2023-11-04,1939-06-01,2023-10-28,1939-01-01,2022-01-01,HI
Waimanalo / Waim?Nalo Beach,US,HI,91184,KBLW,21.3333,-157.7167,18.0,Pacific/Honolulu,,,1969-09-01,2023-02-17,1969-01-01,2021-01-01,HI
"Kaunakakai, Molokai Airport",US,HI,91186,PHMK,21.15,-157.1,138.0,Pacific/Honolulu,2006-01-01,2023-11-04,1949-10-01,2023-10-27,1949-01-01,2022-01-01,HI
Kahului Airport,US,HI,91190,PHOG,20.9,-156.4333,16.0,Pacific/Honolulu,1973-01-01,2023-11-04,1905-01-01,2023-10-27,1905-01-01,2022-01-01,HI
Kailua,US,HI,91196,,20.9,-156.2167,213.0,Pacific/Honolulu,,,1905-01-01,2022-06-03,1905-01-01,2007-01-01,HI
Kula Expmt Stn / Waiakoa,US,HI,91198,,20.7667,-156.3333,928.0,Pacific/Honolulu,,,1979-04-01,2023-10-27,1979-01-01,2020-01-01,HI
Hilo International Airport,US,HI,91285,PHTO,19.7167,-155.05,12.0,Pacific/Honolulu,1973-01-01,2023-11-04,1949-10-01,2023-10-27,1949-01-01,2022-01-01,HI
Burlington / Congers Mobile Home Park,US,IA,72542,KBRL,40.7832,-91.1255,213.0,America/Chicago,2005-01-01,2023-11-04,1897-07-14,2023-10-31,1897-01-01,2022-01-01,IA
Cedar Rapids / Konigsmark,US,IA,72545,KCID,41.8851,-91.7123,265.0,America/Chicago,1973-01-01,2023-11-04,1953-06-01,2023-10-31,1953-01-01,2022-01-01,IA
Des Moines International,US,IA,72546,KDSM,41.5333,-93.6531,292.0,America/Chicago,1973-01-01,2023-11-04,1945-07-01,2023-10-31,1945-01-01,2022-01-01,IA
Waterloo Municipal Airport,US,IA,72548,KALO,42.55,-92.0667,266.0,America/Chicago,1960-03-01,2023-11-04,1950-03-01,2023-10-31,1950-01-01,2022-01-01,IA
Sioux Gateway Airport,US,IA,72557,KSUX,42.3833,-96.05,335.0,America/Chicago,1942-10-01,2023-11-04,1942-10-01,2023-10-31,1942-01-01,2022-01-01,IA
Spencer / Birchwood Estates,US,IA,72650,,43.1667,-95.15,408.0,America/Chicago,,,1895-02-01,2023-10-31,1895-01-01,2022-01-01,IA
Iowa City / Baculis Mobile Home Park,US,IA,,KIOW,41.6398,-91.5481,204.0,America/Chicago,1997-01-23,2023-11-04,1997-02-13,2022-04-24,2005-01-01,2021-01-01,IA
Mason City / Orchard Park Mobile Home Court,US,IA,,KMCW,43.1578,-93.3313,370.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1975-01-01,2022-01-01,IA
Ottumwa / Keb (Historical),US,IA,,KOTM,41.1066,-92.4479,258.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1975-01-01,2021-01-01,IA
Pocatello Regional Airport,US,ID,72578,KPIH,42.9167,-112.6,1356.0,America/Boise,1943-01-01,2023-11-04,1939-01-03,2023-10-31,1939-01-01,2022-01-01,ID
Boise Air Terminal,US,ID,72681,KBOI,43.5667,-116.2333,871.0,America/Boise,1931-01-01,2023-11-04,1931-01-01,2023-10-31,1931-01-01,2022-01-01,ID
Lewiston Nez Perce Co Airport,US,ID,72783,KLWS,46.3667,-117.0167,438.0,America/Los_Angeles,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,ID
Burley / Heyburn,US,ID,,KBYI,42.5426,-113.7715,1266.0,America/Boise,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2001-01-01,2022-01-01,ID
Idaho Falls / Orvin,US,ID,,KIDA,43.5137,-112.0708,1446.0,America/Boise,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2022-01-01,ID
Mountain Home / Mountain Home Air Force Base,US,ID,,KMUO,43.0436,-115.8724,913.0,America/Boise,1932-01-01,2023-11-04,1932-01-02,2022-04-24,1932-01-01,2021-01-01,ID
"Salem, Salem-Leckrone Airport",US,IL,72433,KSLO,38.6333,-88.95,175.0,America/Chicago,2007-08-13,2023-11-04,1915-07-01,2023-11-01,1915-01-01,2022-01-01,IL
Lambert-St Louis International  Airport,US,IL,72434,KSTL,38.75,-90.0333,184.0,America/Chicago,1973-01-01,2023-11-04,1938-04-01,2023-10-31,1938-01-01,2022-01-01,IL
Springfield / Bando,US,IL,72439,KSPI,39.8442,-89.6781,182.0,America/Chicago,1973-01-01,2023-11-04,1901-01-01,2023-10-31,1901-01-01,2022-01-01,IL
Quincy / Burton,US,IL,72443,KUIN,39.9429,-91.1946,234.0,America/Chicago,1973-01-01,2023-11-04,1948-06-01,2023-10-31,1948-01-01,2022-01-01,IL
Chicago O’hare Airport,US,IL,72530,KORD,41.9833,-87.9167,204.0,America/Chicago,1946-10-01,2023-11-04,1946-10-09,2023-10-31,1946-01-01,2022-01-01,IL
Greater Peoria Regional Airport,US,IL,72532,KPIA,40.6667,-89.6839,201.0,America/Chicago,1973-01-01,2023-11-04,1943-05-04,2023-10-31,1943-01-01,2022-01-01,IL
Chicago Midway Airport,US,IL,72534,KMDW,41.7833,-87.75,189.0,America/Chicago,1973-01-01,2023-11-04,1928-02-29,2023-10-31,1928-01-01,2022-01-01,IL
Greater Rockford Airport,US,IL,72543,KRFD,42.2,-89.1,224.0,America/Chicago,1973-01-01,2023-11-04,1951-01-01,2023-10-31,1951-01-01,2022-01-01,IL
Moline Quad-City Airport,US,IL,72544,KMLI,41.45,-90.0167,180.0,America/Chicago,1973-01-01,2023-11-04,1943-05-24,2023-10-31,1943-01-01,2022-01-01,IL
Dubuque Regional Airport,US,IL,72547,KDBQ,42.4,-90.0333,328.0,America/Chicago,1973-01-01,2023-11-04,1951-02-01,2023-10-31,1951-01-01,2022-01-01,IL
Evansville Regional,US,IN,72432,KEVV,38.0333,-87.5333,127.0,America/Chicago,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,IN
Columbus / Flat Rock Park,US,IN,72436,KBAK,39.2619,-85.8963,200.0,America/Indiana/Indianapolis,1990-02-08,2023-11-04,1949-07-06,2021-07-10,1949-01-01,1959-01-01,IN
Indianapolis International  Airport,US,IN,72438,KIND,39.7167,-86.1167,243.0,America/Indiana/Indianapolis,1942-10-06,2023-11-04,1942-10-06,2023-11-01,1942-01-01,2022-01-01,IN
Fort Wayne International,US,IN,72533,KFWA,41.0,-85.0333,248.0,America/Indiana/Indianapolis,1941-11-01,2023-11-04,1939-08-01,2023-10-31,1939-01-01,2022-01-01,IN
South Bend Regional Airport,US,IN,72535,KSBN,41.7,-86.3167,244.0,America/Indiana/Indianapolis,1973-01-01,2023-11-04,1893-12-01,2023-10-31,1893-01-01,2022-01-01,IN
Lafayette / Summit,US,IN,,KLAF,40.4123,-86.9369,185.0,America/Indiana/Indianapolis,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1979-01-01,2022-01-01,IN
Olathe / Clare,US,KS,72447,KIXD,38.8309,-94.8903,331.0,America/Chicago,1978-11-24,2023-11-04,1945-03-01,2023-10-31,1945-01-01,2022-01-01,KS
Wichita Mid-Continent Airport,US,KS,72450,KICT,37.65,-97.1,406.0,America/Chicago,1973-01-01,2023-11-04,1953-12-01,2023-10-31,1951-01-01,2022-01-01,KS
Dodge City Regional Airport,US,KS,72451,KDDC,37.7667,-99.1333,791.0,America/Chicago,1943-04-19,2023-11-04,1909-04-01,2023-10-31,1909-01-01,2022-01-01,KS
Medicine Lodge,US,KS,72452,KP28,37.2833,-98.55,469.0,America/Chicago,1978-03-10,2023-11-04,1978-09-23,2023-10-31,1989-01-01,2022-01-01,KS
"Fort Riley, Marshall Aaf Ft Riley",US,KS,72455,KFRI,39.05,-96.75,324.0,America/Chicago,1938-08-17,2023-11-04,1939-03-11,2022-04-25,1939-01-01,2021-01-01,KS
Topeka Billard Municipal Airport,US,KS,72456,KTOP,39.0667,-95.1333,269.0,America/Chicago,1973-01-01,2023-11-04,1946-08-01,2023-10-31,1946-01-01,2022-01-01,KS
"Concordia, Blosser Municipal Airport",US,KS,72458,KCNK,39.55,-97.65,453.0,America/Chicago,1973-01-01,2023-11-04,1885-05-01,2023-10-31,1885-01-01,2022-01-01,KS
Goodland Renner Field,US,KS,72465,KGLD,39.3667,-101.7,1114.0,America/Denver,1973-01-01,2023-11-04,1895-06-09,2023-10-31,1895-01-01,2022-01-01,KS
"Smokey Hill Gunnery Range, Ks.",US,KS,74545,KSLN,38.65,-97.8,0.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-25,1975-01-01,2022-01-01,KS
Chanute,US,KS,,KCNU,37.6688,-95.4851,306.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2021-01-01,KS
Emporia / Genes Mobile Home Park,US,KS,,KEMP,38.3306,-96.1899,368.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2005-01-01,2021-01-01,KS
Garden City / Mansfield,US,KS,,KGCK,37.9275,-100.7244,881.0,America/Chicago,1943-02-01,2023-11-04,1943-02-02,2022-04-24,1943-01-01,2021-01-01,KS
Hill City,US,KS,,KHLC,39.3802,-99.8315,682.0,America/Chicago,1973-01-01,2023-11-04,1996-05-18,2022-04-23,2005-01-01,2021-01-01,KS
Hutchinson / Obeeville,US,KS,,KHUT,38.0655,-97.8606,470.0,America/Chicago,1945-02-01,2023-11-04,1945-02-02,2022-04-24,1945-01-01,2022-01-01,KS
Russell / Homer,US,KS,,KRSL,38.8714,-98.8116,568.0,America/Chicago,1943-02-01,2023-11-04,1943-02-02,2022-04-23,1944-01-01,2021-01-01,KS
Cincinnati/Northern Ky International,US,KY,72421,KCVG,39.05,-84.6667,273.0,America/New_York,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,KY
Lexington Blue Grass Airport,US,KY,72422,KLEX,38.0333,-84.6,299.0,America/New_York,1973-01-01,2023-11-04,1872-10-11,2023-10-31,1872-01-01,2022-01-01,KY
Standiford Field,US,KY,72423,KSDF,38.1833,-85.7333,151.0,America/Kentucky/Louisville,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,KY
Fort Knox,US,KY,72424,KFTK,37.9,-85.9667,230.0,America/New_York,1945-03-01,2023-11-04,1945-03-01,2022-04-25,1945-01-01,2022-01-01,KY
Barkley Regional Airport,US,KY,72435,KPAH,37.05,-88.7667,125.0,America/Chicago,1989-01-01,2023-11-04,1949-08-12,2023-10-31,1949-01-01,2022-01-01,KY
Fort Campbell U. S. Army Airfield,US,KY,74671,KHOP,36.6667,-87.5,174.0,America/Chicago,1943-07-15,2023-11-04,1943-07-16,2022-04-25,1943-01-01,2021-01-01,KY
Bowling Green / Eastland Park,US,KY,,KBWG,36.9645,-86.4197,167.0,America/Chicago,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1999-01-01,2021-01-01,KY
London-Corbin / Sublimity City,US,KY,,KLOZ,37.0869,-84.0774,369.0,America/New_York,1991-03-21,2023-11-04,1996-09-20,2022-04-24,1999-01-01,2022-01-01,KY
Sturgis,US,KY,,KTWT,37.5418,-87.9544,113.0,America/Chicago,1944-03-06,2023-11-04,1944-03-25,2022-04-24,1944-01-01,2022-01-01,KY
New Orleans Airport,US,LA,72231,KMSY,30.0,-90.0833,2.0,America/Chicago,1945-10-01,2023-11-04,1945-10-01,2023-10-31,1945-01-01,2022-01-01,LA
Boothville,US,LA,,KBVE,29.3333,-89.4,0.0,America/Chicago,1973-01-01,2019-12-02,1965-02-16,2019-12-02,1965-01-01,2019-01-01,LA
Slidell,US,LA,72233,KLIX,30.3333,-89.8167,8.0,America/Chicago,,,1988-09-01,2023-11-01,1988-01-01,2022-01-01,LA
Fort Polk,US,LA,72239,KPOE,31.05,-93.1833,101.0,America/Chicago,1962-09-03,2023-11-04,1955-10-27,2022-04-25,1955-01-01,2021-01-01,LA
Lake Charles Regional Airport,US,LA,72240,KLCH,30.2,-93.3833,5.0,America/Chicago,1942-05-02,2023-11-04,1942-05-02,2023-10-31,1942-01-01,2022-01-01,LA
Shreveport Regional Airport,US,LA,72248,KSHV,32.45,-93.0,79.0,America/Chicago,1973-01-01,2023-11-04,1939-07-01,2023-10-31,1939-01-01,2022-01-01,LA
Alexandria International Airport,US,LA,74754,KAEX,31.55,-92.9333,27.0,America/Chicago,1943-09-01,2023-11-04,1943-09-02,2022-04-25,1943-01-01,2022-01-01,LA
New Iberia / New Horizon Mobile Home Park,US,LA,,KARA,30.0378,-91.8839,7.0,America/Chicago,1981-07-24,2023-11-04,1998-05-09,2022-04-24,2020-01-01,2022-01-01,LA
